epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8130019307136536,0.8790841102600098,9.999999747378752e-05,0.4095350205898285,0.9050014019012451,0.8354398012161255,0.75,0.875,0.511348307132721,0.6666666865348816,1.0
1,0.9026768803596497,0.9532979130744934,9.999999747378752e-05,0.24233879148960114,0.93968665599823,0.9282950758934021,0.75,0.90625,0.49513155221939087,0.6666666865348816,1.0
2,0.9179732203483582,0.9670674204826355,9.999999747378752e-05,0.20280563831329346,0.9473274350166321,0.9417074918746948,0.75,0.8828125,0.5338526964187622,0.6666666865348816,1.0
3,0.9277246594429016,0.9742887020111084,9.999999747378752e-05,0.17875544726848602,0.9524179100990295,0.9499613046646118,0.75,0.9375,0.48411208391189575,0.6666666865348816,1.0
4,0.9351816177368164,0.979446530342102,9.999999747378752e-05,0.1605200171470642,0.9578157067298889,0.9546040892601013,0.75,0.921875,0.535484254360199,0.6666666865348816,1.0
5,0.9382409453392029,0.9804179072380066,9.999999747378752e-05,0.15562589466571808,0.9582259058952332,0.9584730267524719,0.75,0.921875,0.5248502492904663,0.6666666865348816,1.0
6,0.9413002133369446,0.9808188676834106,9.999999747378752e-05,0.15193693339824677,0.9610020518302917,0.959762692451477,0.75,0.9375,0.4927852153778076,0.6666666865348816,1.0
7,0.9441682696342468,0.9825240969657898,9.999999747378752e-05,0.14605899155139923,0.9606785178184509,0.9641475081443787,0.75,0.90625,0.49089568853378296,0.6666666865348816,1.0
8,0.9409177899360657,0.9826521277427673,4.999999873689376e-05,0.14643903076648712,0.9619368314743042,0.9582151174545288,0.8125,0.921875,0.4828678071498871,0.7272727489471436,1.0
9,0.9409177899360657,0.982427179813385,4.999999873689376e-05,0.14638826251029968,0.9614588618278503,0.9587309956550598,0.75,0.921875,0.49135780334472656,0.6666666865348816,1.0
10,0.947418749332428,0.9844003915786743,4.999999873689376e-05,0.13802354037761688,0.96513432264328,0.9638895988464355,0.75,0.921875,0.486992210149765,0.6666666865348816,1.0
11,0.9453154802322388,0.9843530058860779,4.999999873689376e-05,0.1361599713563919,0.9624001979827881,0.9638895988464355,0.6875,0.90625,0.570037841796875,0.6153846383094788,1.0
12,0.9449330568313599,0.9849079251289368,4.999999873689376e-05,0.13431763648986816,0.9623808264732361,0.9633737206459045,0.6875,0.921875,0.5438656210899353,0.6153846383094788,1.0
13,0.948183536529541,0.9852011203765869,2.499999936844688e-05,0.13211850821971893,0.96421217918396,0.9659530520439148,0.6875,0.921875,0.5611913204193115,0.6153846383094788,1.0
14,0.9470363259315491,0.9849608540534973,2.499999936844688e-05,0.13233491778373718,0.9651162624359131,0.9633737206459045,0.6875,0.921875,0.5611164569854736,0.6153846383094788,1.0
15,0.9487571716308594,0.9851484298706055,2.499999936844688e-05,0.13051441311836243,0.9651972055435181,0.9656951427459717,0.6875,0.921875,0.5855163335800171,0.6153846383094788,1.0
16,0.9500955939292908,0.9852865934371948,2.499999936844688e-05,0.1292770802974701,0.9669421315193176,0.9656951427459717,0.6875,0.921875,0.590509295463562,0.6153846383094788,1.0
17,0.9500955939292908,0.9866158962249756,1.249999968422344e-05,0.12604397535324097,0.9640657305717468,0.9687902927398682,0.6875,0.921875,0.5684483051300049,0.6153846383094788,1.0
18,0.951051652431488,0.9866914749145508,1.249999968422344e-05,0.12632326781749725,0.9653045535087585,0.9687902927398682,0.6875,0.921875,0.5591198205947876,0.6153846383094788,1.0
